NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple Macbook Pro MR9U2HN/A Laptop (8th Gen Ci5/ 8GB/ 256GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated Iris Plus 655,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,40,000",https://cdn1.smartprix.com/rx-ih7WJBuVb-w103-h125/apple-macbook-pro-mr.jpg
Apple MacBook MNYJ2HN/A Laptop (7th Gen Ci5/ 8GB/ 512GB SSD/ Mac OS Sierra),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,512 GB SSD,Intel Integrated HD 615,"12 inches, 2304 x 1440 pixels",Mac OS,"1,40,000",https://cdn1.smartprix.com/rx-iKvS4BSCS-w103-h125/apple-macbook-mnyj2h.jpg
Apple MacBook Pro MJLQ2HN/A Notebook (Ci7/ 16GB/ 256GB/ OS X Yosemite),2.2 GHz Intel Core i7,16 GB DDR3 RAM,256 GB Hard Disk,NO,Intel Iris Pro Graphics,"15 inches, 2880 x 1800 pixels",Mac OS,"1,42,000",https://cdn1.smartprix.com/rx-iExrR0gvn-w103-h125/apple-macbook-pro-mj.jpg
Apple MacBook Pro MXK52HN Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Mac OS Catalina),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,512 GB SSD,Intel Integrated Iris Plus 645,"13 inches, 2560 x 1600 pixels",Mac OS," 1,42,000 ",https://cdn1.smartprix.com/rx-ie2rqlJ1p-w103-h125/apple-macbook-pro-mx.webp
Apple MacBook Pro MLH32HN/A Notebook (Ci7/ 16GB/ 256GB SSD/ Mac OS Sierra/ 2GB Graph),Intel Core i7,16 GB DDR3 RAM,NO,256 GB SSD,2 GB  Graphics Card,"15 inches, 2880 x 1800 pixels",Mac OS,"1,45,000",https://cdn1.smartprix.com/rx-i7XLmwokP-w103-h125/apple-macbook-pro-ml.jpg
Apple MacBook Pro MPTV2HN/A Notebook (Ci7/ 16GB/ 512GB SSD/ Mac OS Sierra/ 2GB Graph),Intel Core i7 7th Gen,16 GB DDR3 RAM,NO,512 GB SSD,2 GB Intel Graphics Card,"15.4 inches, 2800 x 1800 pixels",Mac OS,"1,47,000",https://cdn1.smartprix.com/rx-iBmDKOiPD-w103-h125/apple-macbook-pro-mp.jpg
Apple Macbook Pro MPXX2HN/A Notebook (Ci5/ 8GB/ 256GB/ Mac OS Sierra),Intel Core i5 7th Gen,8 GB LPDDR3 RAM,NO,256 GB SSD,Intel Iris Plus Graphics 650,"13.3 inches, 2560 x 1600 pixels",Mac OS," 1,47,000 ",https://cdn1.smartprix.com/rx-isuvi5h8P-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro MR9R2HN Ultrabook (8th Gen Ci5/ 8GB/ 512GB SSD/ MacOS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,512 GB SSD,Intel Iris Plus Graphics 655,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,48,000",https://cdn1.smartprix.com/rx-iwqZF6zWr-w103-h125/apple-macbook-pro-mr.jpg
Apple MacBook Pro MV902HN Laptop (8th Gen Core i7/ 16GB/ 256GB SSD/ Mac OS Mojave/ 4GB Graph),Intel Core i7 8th Gen,16 GB DDR3 RAM,NO,256 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"1,50,000",https://cdn1.smartprix.com/rx-ishsP0sL9-w103-h125/apple-macbook-pro-mv.jpg
Apple Macbook Pro MLH12HN/A Notebook (Ci5/ 8GB/ 256GB SSD/ Mac OS Sierra),Intel Core i5,8 GB DDR3 RAM,NO,256 GB SSD,Intel Iris Graphics 550,"13 inches, 2560 x 1600 pixels",Mac OS,"1,53,000",https://cdn1.smartprix.com/rx-iCG2dhfnD-w103-h125/apple-macbook-pro-ml.jpg
