NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM,PRICE,IMAGE-src
Acer A315-21-2109 (NX.GNVSI.005) Laptop (7th Gen AMD E2/ 4GB/ 1TB/ Linux),AMD Dual Core E2 9000,4 GB DDR4 RAM,1 TB Hard Disk,,AMD Radeon R2,"15.6 inches, 1366 x 768 pixels",Linux OS,"17,790",https://cdn1.smartprix.com/rx-iBUZDhfAk-w103-h125/acer-a315-21-2109-nx.jpg
Acer Aspire A315-31 (NX.GY3SI.003) Laptop (Celeron Dual Core/ 4GB/ 500GB/ Linux),Intel Celeron,4 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated Intel,"15.6 inches, 1920 x 1080 pixels",Linux OS,"17,799",https://cdn1.smartprix.com/rx-iuA1Sb0cf-w103-h125/acer-aspire-a315-31.jpg
Acer ES1-131-C22T (NX.MYKSI.006) Laptop (4th Gen CDC/ 2GB/ 500GB/ Win8.1),Intel CDC,2 GB DDR3 RAM,500 GB Hard Disk,,intel HD graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS,"17,863",https://cdn1.smartprix.com/rx-imqlvFRkZ-w103-h125/acer-es1-131-c22t-nx.jpg
Acer One 14 Z422 Laptop (AMD A4-3350B/ 4GB/ 1TB/ Linux),AMD AMD A4,4 GB  RAM,1 TB Hard Disk,,AMD Radeon HD 6480G,"14 inches, 1920 x 1080 pixels",Linux OS,"17,890",https://cdn1.smartprix.com/rx-iipUkEgTF-w103-h125/acer-one-14-z422-lap.webp
Acer Aspire Z3-451 Laptop (AMD Quad Core A10/ 4GB/ 1TB /FreeDOS),AMD A10-5757M,4 GB DDR3 RAM,1 TB Hard Disk,,AMD Radeon HD 8650G,"14 inches, 1366 x 768 pixels",DOS OS,"17,990",https://cdn1.smartprix.com/rx-i4uc1LltN-w103-h125/acer-aspire-z3-451-l.jpg
Acer Aspire ES1-523 (NX.GKYSI.001) Laptop (AMD Dual Core E1/ 4GB/ 1TB/ Linux),AMD E1 APU 7th Gen,4 GB DDR3 RAM,1 TB Hard Disk,,AMD RADEON,"15.6 inches, 1366 x 768 pixels",Linux OS,"17,990",https://cdn1.smartprix.com/rx-iRHGe0Bun-w103-h125/acer-aspire-es1-523.jpg
Acer Aspire 3 A315-31 (UN.GNTSI.003) Laptop (CDC/ 4GB/ 500GB/ Win10),Intel Celeron,4 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD Graphics 500,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,"17,990",https://cdn1.smartprix.com/rx-ivAsXVSDG-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire 3 A315-53 Laptop (Intel Celeron/ 4GB/ 500GB/ Win10),Intel Celeron,4 GB DDR4 RAM,500 GB Hard Disk,,Intel HD Graphics 610,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"17,990",https://cdn1.smartprix.com/rx-irlAUhvzK-w103-h125/acer-aspire-3-a315-5.jpg
Acer Aspire ES1-111M (NX.MSNSI.001) Netbook (4th Gen CDC/ 2GB/ 500GB/ Win8.1),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,11.6 inches,Windows 8 OS,"17,999",https://cdn1.smartprix.com/rx-iPej4GaSf-w103-h125/acer-aspire-es1-111m.jpg
Acer ES1-531-P5GU Notebook (NX.MZ8SI.044) (Intel Pentium/ 4Gb/ 500GB/ FreeDOS),Intel Pentium 3rd Gen,4 GB DDR3 RAM,500 GB Hard Disk,,,"15.6 inches, 1366 x 768 pixels",DOS OS,"17,999",https://cdn1.smartprix.com/rx-izgoSFTCC-w103-h125/acer-es1-531-p5gu-no.jpg
Acer One 14 Z422 (UN.Y2ASI.062) Laptop (AMD A4 3350 B/ 4GB/ 500GB/ Linux),AMD,4 GB DDR3 RAM,500 GB Hard Disk,,AMD Radeon R4,"14 inches, 1366 x 768 pixels",Linux OS,"18,199",https://cdn1.smartprix.com/rx-ii2plhuqp-w103-h125/acer-one-14-z422-un.jpg
Acer Aspire ES1-523 (NX.GKYSI.002) Laptop (AMD Quad Core A4/ 4GB /1TB/ Linux),AMD APU Quad Core A4 7210,4 GB DDR3 RAM,1 TB Hard Disk,,AMD Radeon R3,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,299",https://cdn1.smartprix.com/rx-isOMmX1IS-w103-h125/acer-aspire-es1-523.jpg
Acer Aspire E3-112M (UN.MSMSI.005) (4th Gen CDC/ 2GB/ 500GB/ Win8.1),Intel Celeron 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel,"11.6 inches, 1366 x 768 pixels",Windows 8 OS,"18,363",https://cdn1.smartprix.com/rx-iFCVpnJGc-w103-h125/acer-aspire-e3-112m.jpg
Acer Aspire ES1-132 Notebook (4th Gen CDC/ 2GB/ 500GB/ Win10)(NX.GG2SI.004),Intel Celeron 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,499",https://cdn1.smartprix.com/rx-iY6Zku4bS-w103-h125/acer-aspire-es1-132.jpg
