NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Asus A555LF-XX264D Notebook (5th Gen Ci3/ 4GB/ 1TB/ Free DOS/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 32,500 ",https://cdn1.smartprix.com/rx-ifvIq7Wvk-w103-h125/asus-a555lf-xx264d-n.jpg
Asus Pro P1440FA-3410 Laptop (8th Gen Core i3/ 4GB/ 1TB/ FreeDos),Intel Core i3 8th Gen,4 GB DDR4 RAM,1 GB Hard Disk,NO,Intel UHD Graphics 620,"14 inches, 1366 x 768 pixels",Linux Dos OS," 32,500 ",https://cdn1.smartprix.com/rx-i7zhhbzEV-w103-h125/asus-pro-p1440fa-341.jpg
Asus A555LF-XX150T Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i3 4th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 32,590 ",https://cdn1.smartprix.com/rx-iuvGHnC8X-w103-h125/asus-a555lf-xx150t-n.jpg
Asus X509FA-EJ860T Notebook (8th Gen Core i3/ 4GB/ 256GB SSD/ Win10 Home),Intel Core i3 8th Gen,4 GB DDR4 RAM,NO,256 GB SSD,Intel Integrated UHD 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 32,681 ",https://cdn1.smartprix.com/rx-iBqCxuq1n-w103-h125/asus-x509fa-ej860t-n.jpg
Asus M409DA-EK440TS Laptop (Ryzen 3/ 4GB/ 256GB SSD/ Win10 Home),AMD Ryzen 3 3rd Gen,4 GB DDR4 RAM,NO,256 GB SSD,AMD Radeon Vega 3,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 32,681 ",https://cdn1.smartprix.com/rx-ipoRlWUny-w103-h125/asus-m409da-ek440ts.jpg
Asus X441UA-GA597 Laptop (8th Gen Core i3/ 4GB/ 1TB HDD/ FreeDOS),Intel Core i3 8th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated UMA,"14 inches, 1366 x 768 pixels",DOS OS," 32,979 ",https://cdn1.smartprix.com/rx-iHDerMjmj-w103-h125/asus-x441ua-ga597-la.jpg
Asus VivoBook X509FA-EJ372T Notebook (8th Gen Core i3/ 4GB/ 512GB SSD/ Win10),Intel Core i3 8th Gen,4 GB DDR4 RAM,NO,512 GB SSD,Intel Integrated UHD 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 32,980 ",https://cdn1.smartprix.com/rx-i6reZsUyp-w103-h125/asus-vivobook-x509fa.jpg
Asus X541UA-DM883T Laptop (6th Gen Ci3/ 4GB/ 1TB/ Win10),Intel Core i3 6006U 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD,"15.6 inches, 1920 x 1080 pixels",Windows OS," 32,990 ",https://cdn1.smartprix.com/rx-isfvSrvUh-w103-h125/asus-x541ua-dm883t-l.jpg
Asus X509JA-EJ485T Laptop (10th Gen Core i3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 10th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 32,990 ",https://cdn1.smartprix.com/rx-iXuiPngQX-w103-h125/asus-x509ja-ej485t-l.jpg
Asus Vivobook X507UA-EJ179T Laptop (6th Gen Ci3/ 8GB/ 1TB/ Win10),Intelc Core i3 6th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics 520,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 32,990 ",https://cdn1.smartprix.com/rx-iWxyDJQoW-w103-h125/asus-vivobook-x507ua.jpg
Asus X555LJ-XX127D Notebook (5th Gen Ci3/ 4GB/ 1TB/ Free DOS/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 32,999 ",https://cdn1.smartprix.com/rx-iABqBf5Zi-w103-h125/asus-x555lj-xx127d-n.jpg
Asus A555LF-XX366T Notebook (5th Gen Ci3/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 32,999 ",https://cdn1.smartprix.com/rx-iUwe8Ao1A-w103-h125/asus-a555lf-xx366t-n.jpg
Asus A555LA-XX1900T (90NB0656-M29250) Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win10),Intel Core i3 4th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD 4400,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 33,300 ",https://cdn1.smartprix.com/rx-iDTNaNZPv-w103-h125/asus-a555la-xx1900t.jpg
Asus T200TA 2 in 1 Laptop (1st Gen Atom Quad Core/ 2GB/ 500GB/ Win8.1/ Touch) (T200TA-CP004H),Intel 1st Gen Atom,2 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels, Touch Screen",Windows 8 OS," 33,490 ",https://cdn1.smartprix.com/rx-iKuWpIhyV-w103-h125/asus-t200ta-2-in-1-l.jpg
Asus X555LA-XX688D Laptop (5th Gen Ci5/ 4GB/ 1TB/ FreeDOS),Intel Core i5 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD Graphics 5500,"15.6 inches, 1366 x 768 pixels",DOS OS," 33,500 ",https://cdn1.smartprix.com/rx-iIwxDQj30-w103-h125/asus-x555la-xx688d-l.jpg
Asus M509DA-EJ562T Laptop (AMD Ryzen 5 Quad Core/ 4 GB/ 256 GB SSD/ Win10),AMD Ryzen 5 3rd Gen,4 GB DDR4 RAM,NO,256 GB SSD,AMD Radeon Vega 8,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 33,500 ",https://cdn1.smartprix.com/rx-iBkIIVNQG-w103-h125/asus-m509da-ej562t-l.jpg
Asus Chromebook C223NA-DH02 Laptop (Celeron Dual Core/ 4GB/ 32GB SSD/ Chrome OS),Intel Celeron,4 GB LPDDR4 RAM,NO,32 GB SSD,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Chrome OS," 33,529 ",https://cdn1.smartprix.com/rx-ipXJOyeQ7-w103-h125/asus-chromebook-c223.jpg
Asus A555LF-X0255D (90NB08H1-M03900) Notebook (5th Gen Ci3/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 33,900 ",https://cdn1.smartprix.com/rx-i9EmpP7HK-w103-h125/asus-a555lf-x0255d-9.jpg
Asus A555LF-XX406T Laptop (5th Gen Ci3/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 33,990 ",https://cdn1.smartprix.com/rx-iBXrHmDZU-w103-h125/asus-a555lf-xx406t-l.jpg
