NAME,PROCESSOR,RAM,,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Lenovo Essential G580 (59-358346) Laptop (3rd Gen Ci3/ 2GB/ 1TB/ DOS),Intel Core i3 3rd Gen,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 30,224 ",https://cdn1.smartprix.com/rx-iYPuctdxY-w103-h125/lenovo-essential-g58.jpg
Lenovo G50-70 Ideapad (59-422432) Laptop (4th Gen Intel Ci3/ 2GB/ 1TB/ Free DOS/ 2GB Graph),Intel Core i3 4th Gen,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 44,000 ",https://cdn1.smartprix.com/rx-iFAo87QMz-w103-h125/lenovo-ideapad-z580.jpg
Lenovo Essential G500s(59-383022) Laptop (3rd Gen Ci3/ 2GB/ 1TB/ DOS/ 1GB Graph),Intel Core i3,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 39,800 ",https://cdn1.smartprix.com/rx-iNqdiKYRN-w103-h125/lenovo-ideapad-z580.jpg
Lenovo Ideapad G50-70 (59-417110) Notebook (4th Gen Ci3/ 2GB/ 1TB/ Free DOS/ 2GB Graph),Intel Core i3,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"14 inches, 1366 x 768 pixels",DOS OS," 55,300 ",https://cdn1.smartprix.com/rx-i6T0FzBJ4-w103-h125/lenovo-thinkpad-e431.jpg
Lenovo G500 (59-412737) Laptop (3rd Gen Pentium Dual Core/2 GB/1TB/Windows 8.1),Intel Pentium,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 33,000 ",https://cdn1.smartprix.com/rx-iLWg3uSBF-w103-h125/lenovo-essential-g58.jpg
Lenovo Essential G580 (59-358313) Laptop (3rd Gen Ci3/ 2GB/ 1TB/ Win8),Intel Core i3 3rd Gen,2 GB DDR3 RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 35,188 ",https://cdn1.smartprix.com/rx-ihrg4iSz4-w103-h125/lenovo-essential-g58.jpg
Lenovo Ideapad 130 81H50040IN Laptop (AMD A9/ 4GB/ 1TB/ Win10),Amd A9 7th Gen,4 GB  RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 7 OS," 37,370 ",https://cdn1.smartprix.com/rx-inJIBg1Xd-w103-h125/lenovo-ideapad-z580.jpg
Lenovo Ideapad 300-15ISK (80Q700UGIN) Notebook (6th Gen Intel Ci5/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i5 6th Gen,4 GB  RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 37,550 ",https://cdn1.smartprix.com/rx-irv69YL5q-w103-h125/lenovo-b590-59-40929.jpg
Lenovo V145 81MT0034IH  Laptop (AMD A6/ 4GB/ 1TB/ FreeDOS),Amd A6 7th Gen,4 GB  RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 7 OS," 53,000 ",https://cdn1.smartprix.com/rx-ilTFT43n7-w103-h125/lenovo-thinkpad-e530.jpg
Lenovo V130 81HNA01RIH Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10),Intel Core i3 7th Gen,4 GB  RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,15.6 inches,Windows 7 OS," 71,000 ",https://cdn1.smartprix.com/rx-iGdoYkR2r-w103-h125/lenovo-t530-t-series.jpg
Lenovo V130 81HNA00FIH Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10),Intel Core i3 7th Gen,4 GB  RAM,,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,14 inches,DOS OS," 33,999 ",https://cdn1.smartprix.com/rx-iJV96Vq4D-w103-h125/lenovo-essential-b49.jpg
Lenovo Ideapad 130 (81H700BDIN) Laptop (7th Gen Core i3/ 4GB/ 1TB/ FreeDos),Intel Core i3 7th Gen,4 GB  RAM,,500 GB Hard Disk,NO,NO,"11 inches, 1366 x 768 pixels",Windows 10 OS," 28,999 ",https://cdn1.smartprix.com/rx-io5hZ2Pen-w103-h125/lenovo-yoga-300-80m1.jpg
Lenovo Ideapad 310-15ISK (80SM023BIH) Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6th Gen,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 90,999 ",https://cdn1.smartprix.com/rx-i6RRRBmJp-w103-h125/lenovo-legion-y520-8.jpg
Lenovo Ideapad 330 (81DE02YNIN) Laptop (Intel Celeron 3867U/ 4GB/ 1TB/ Win10),Intel Celeron,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 1,19,000 ",https://cdn1.smartprix.com/rx-i2G5sFo8N-w103-h125/lenovo-legion-y520-n.jpg
Lenovo IdeaPad S145 (81N300B7IN) Laptop (AMD A6/ 4GB/ 1TB/ Win10),Amd A6 7th Gen,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 1,16,000 ",https://cdn1.smartprix.com/rx-iVy4C4NqN-w103-h125/lenovo-ideapad-y700.jpg
Lenovo ThinkPad L490 (20Q5S0KF00) Laptop (8th Gen Core i3/ 4GB/ 1TB/ FreeDos),Intel Core i3 8th Gen,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,4 GB  Graphics Card,"17.3 inches, 1920 x 1080 pixels",Windows 10 OS," 93,999 ",https://cdn1.smartprix.com/rx-ii3bQSh0o-w103-h125/lenovo-ideapad-y700.jpg
Lenovo ThinkPad E490 (20N8S16400) Laptop (8th Gen Core i3/ 4GB/ 512GB SSD/ Win10),Intel Core i3 8th Gen,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 90,090 ",https://cdn1.smartprix.com/rx-iWt0DWWUO-w103-h125/lenovo-legion-y520-8.jpg
Lenovo Thinkpad E460 (20EUA02CIG) Laptop (6th Gen Ci5/ 4GB/ 1TB/ Win10),Intel Core i5 6th Gen,4 GB  RAM,,1 TB Hard Disk,128 GB SSD,2 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 39,990 ",https://cdn1.smartprix.com/rx-iuv1y595p-w103-h125/lenovo-ideapad-330-8.jpg
Lenovo G50-80 (80E5039CIH) Notebook (5th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 61,990 ",https://cdn1.smartprix.com/rx-iauiLkANg-w103-h125/lenovo-thinkpad-e14.jpg
Lenovo B41-80 Business Laptop (6th Gen Ci5/ 4GB/ 1TB/ Win10 Pro),Intel Core i5 6th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 76,990 ",https://cdn1.smartprix.com/rx-iZzNSeLxA-w103-h125/lenovo-legion-y530-8.jpg
Lenovo Ideapad G50-70 (59-441421) Laptop (4th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 4th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 74,990 ",https://cdn1.smartprix.com/rx-iukAU0Jdw-w103-h125/lenovo-ideapad-l340.jpg
Lenovo Ideapad Z580 (59-347591) Laptop (3rd Gen Ci3/ 4GB/ 1TB/ Win8/ 1GB Graph),Intel Core i3 3rd Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,2 GB NVIDIA Graphics Card,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 52,990 ",https://cdn1.smartprix.com/rx-iIPWUEsCm-w103-h125/lenovo-ideapad-520s.jpg
